GT,Model_1_0,Model_2_1
1,0.014744536945685893,0.9965261008870566
0,0.9997346217470181,0.003289473684210526
0,0.99978605680106,0.12544949505042227
0,0.9996954685369309,0.0008582343642299368
1,0.022114665395898236,0.7866059162098922
0,0.40185453346844113,0.15955668971912554
0,0.9998040707859349,0.054025906941445774
1,0.0003719052539745693,0.7151823281009156
0,0.9987404771610223,0.0008582343642299368
1,0.06748654579052604,0.7866059162098922
1,0.19550969555302744,0.6438183023132974
1,0.01055684343098473,0.9902924508801724
1,0.005016564999546724,0.7151823281009156
0,0.9997890452946856,0.12599864386975232
0,0.8175083384761042,0.15321762269211414
1,0.010853898960594632,0.9902924508801724
1,0.015907462698786623,0.9965261008870566
1,0.011682946256449389,0.9902924508801724
0,0.9998562653449176,0.0008582343642299368
0,0.7823153149952033,0.1837823156745703
0,0.8859995507662213,0.1837823156745703
0,0.9999659687924837,0.023903297398974288
0,0.9954130769240633,0.0038386225035405646
1,0.016204821889615806,0.9902924508801724
1,0.01254904516929467,0.9902924508801724
1,0.005935902844170116,0.7866059162098922
1,0.006576319551081733,0.9786257253746758
0,0.9996067755060046,0.0038386225035405646
0,0.7093061764884177,0.15321762269211414
0,0.025914045854229406,0.7866059162098922
1,0.05149331329454543,0.7866059162098922
0,0.9999612548599116,0.0008582343642299368
1,0.002614680843420647,0.9984211169946935
1,0.027622721254491833,0.7866059162098922
0,0.9997370284689888,0.12599864386975232
1,0.23257604490545936,0.6136956927708259
0,0.9997332106298393,0.12599864386975232
0,0.9997120893277599,0.003289473684210526
1,0.003581756673609271,0.9921874669878092
1,6.539040587705269e-05,0.9804592280887126
0,0.9998650033648233,0.12599864386975232
0,0.9999412466858342,0.054025906941445774
0,0.9998168741248759,0.0
1,0.025584434927212407,0.9902924508801724
1,0.1271739970097372,0.9298851083938803
0,0.9918760996611458,0.0008582343642299368
1,0.007120517176651742,0.7151823281009156
1,0.003884912079954339,0.9984211169946935
1,0.0063470056604917335,0.9965261008870566
0,0.9999514626794263,0.054025906941445774
0,0.999391332824555,0.0008582343642299368
1,0.008000844815585828,0.9984211169946935
0,0.9998202171503177,0.12544949505042227
1,0.0009479800020809614,0.7541492846116097
0,0.9999019174156072,0.0008582343642299368
0,0.999911529331883,0.054025906941445774
0,0.9998093023210224,0.054025906941445774
1,0.009061037225368884,0.7866059162098922
1,0.00559321127594703,0.9984211169946935
0,0.9998255885729922,0.0
1,0.003431188350039416,0.7151823281009156
1,0.001737889422326222,0.9984211169946935
0,0.9997273212343832,0.12599864386975232
0,0.8154328132780161,0.15955668971912554
0,0.9997938950065941,0.0008582343642299368
1,0.0001690347444844864,0.9902924508801724
0,0.9997765431596535,0.12544949505042227
0,0.9995819035763667,0.0008582343642299368
1,0.04550192057731539,0.7866059162098922
0,0.9999717094078225,0.023903297398974288
1,0.051024179755425725,0.968792502583216
1,3.936287781836079e-06,0.7866059162098922
1,4.273864701143104e-06,0.7866059162098922
1,0.003933057423088138,0.9965261008870566
1,0.0005946070049603902,0.9902924508801724
1,0.014259799805871665,0.9902924508801724
1,8.528306373323247e-07,0.9885878942032337
0,0.999904419840298,0.054025906941445774
1,0.011387746777426266,0.9902924508801724
1,0.004350486124555464,0.7151823281009156
0,0.9520856768843955,0.1837823156745703
1,2.0783449022898637e-06,0.7866059162098922
0,0.9991996196485778,0.003289473684210526
1,0.016180041431504644,0.9902924508801724
0,0.999772352655734,0.0008582343642299368
1,2.091042976581914e-05,0.7866059162098922
0,0.9996934183370183,0.12599864386975232
0,0.9904862866305125,0.15022426982519707
1,0.00390068028779611,0.9984211169946935
1,0.005452827870069843,0.9984211169946935
0,0.9965710655977906,0.0038386225035405646
0,0.9997469230652761,0.12599864386975232
0,0.9999429609991095,0.12544949505042227
0,0.9999024250234227,0.12544949505042227
0,0.9997762429806553,0.12544949505042227
1,4.440892098500626e-16,0.9823542441963494
1,0.02258652011288176,0.9965261008870566
0,0.9999597764875446,0.0008582343642299368
1,0.018513756649752855,0.9965261008870566
0,0.999959333306816,0.0008582343642299368
0,0.9998204607403244,0.12544949505042227
1,0.05661578231742603,0.7866059162098922
0,0.9998293884170717,0.12544949505042227
0,0.999555465174923,0.0008582343642299368
0,0.9996500293857395,0.0008582343642299368
0,0.9999727325242631,0.023903297398974288
1,0.044080732664737776,0.9804592280887126
0,0.9999441093695637,0.12544949505042227
0,0.0940115391899331,0.9298851083938803
1,0.02663089832020671,0.7866059162098922
0,0.9999700499077719,0.023903297398974288
1,0.0011154222268179304,0.9984211169946935
0,0.9998815687199838,0.12544949505042227
1,4.06888258498439e-05,0.9804592280887126
0,0.9992835151210222,0.0008582343642299368
1,0.00042339529580581736,0.9984211169946935
1,0.20338234255536947,0.6438183023132974
0,0.9997378193196902,0.12544949505042227
1,0.01381604656214419,0.9965261008870566
0,0.9997287222873199,0.12599864386975232
0,0.9751040080455108,0.15022426982519707
1,0.002640737807216742,0.9965261008870566
0,0.9998864753034586,0.12544949505042227
0,0.9986322248932905,0.12599864386975232
